time_s,hrr_kW
0.0,250.7757913249963
221.04018042907572,1787.7786210679851
442.08036085815144,2042.0904994265693
663.1205412872272,3833.4329974554335
884.1607217163029,6530.918168934703
1105.2009021453787,7408.652689754468
1326.2410825744544,5467.956138739453
1547.28126300353,3879.4992989105813
1768.3214434326057,2545.7034914471274
1989.3616238616814,1797.5794500002216
2210.4018042907574,1519.7998839858058
2431.441984719833,1234.483659100656
2652.4821651489087,1218.799942104631
2873.522345577984,640.6014783179103
3094.56252600706,531.8305118004686
3315.6027064361356,536.7632952028935
3536.6428868652115,504.4525120233362
3757.6830672942874,376.58022125421144
3978.723247723363,454.1700735534134
4199.763428152439,433.0201311568003
4420.803608581515,451.1071687658585
4641.84378901059,168.2072557827875
4862.883969439666,308.6235925817556
5083.924149868742,594.50484774814
5304.9643302978175,190.1351619222308
