time_s,hrr_kW
0.0,0.0
210.16719067457302,1718.3681183604415
420.33438134914604,1708.7572010774345
630.5015720237191,2752.558099188649
840.6687626982921,5153.616134314879
1050.835953372865,8125.049407721599
1261.0031440474381,5915.774751668121
1471.1703347220111,4419.054575336618
1681.3375253965842,2849.2663276210696
1891.5047160711572,1947.7019746928052
2101.67190674573,1524.0603254641774
2311.839097420303,1609.7355264918963
2522.0062880948763,1194.921244130105
2732.1734787694495,674.3186906219917
2942.3406694440223,626.5127658647966
3152.507860118595,492.4451267181778
3362.6750507931683,613.8590854644578
3572.8422414677416,523.9436879364581
3783.0094321423144,290.49017189620025
3993.176622816887,107.7230077412267
4203.34381349146,501.6191236665558
4413.511004166034,316.35120744353895
4623.678194840606,308.6888566062025
4833.845385515179,383.1396383017589
5044.0125761897525,419.214286901299
