time_s,hrr_kW
0.0,0.0
46.214236856460516,201.7360821762273
72.97852843593436,493.61862993720285
87.6897506097272,808.7380790084003
108.0624598157158,1026.7473689914373
121.45567611604007,1669.4646101208484
159.18493338163717,1689.6541963278823
205.96695932655336,1722.297964930893
250.32953593122545,1680.7911751659772
292.92941464573937,1695.2272096088643
346.1784816013882,1679.5846137712592
388.0251929061042,1665.3100742977708
414.6183813893103,1679.0548336872826
484.7081021525679,2043.2659342841528
510.01477175678235,2337.896355853958
559.6404299122645,2381.7364418769453
603.8216096956396,2509.1006498488746
638.7353383418135,2827.6920788252432
647.8552588127372,2618.6707887746634
658.2497478094135,2987.821575922424
671.6669673451081,3438.6767357297454
683.8014127500485,3748.045953144536
698.0087615734584,3900.13841539286
712.4438010344618,4185.011488542108
737.5138795901877,4733.8255580980685
771.1641483631204,5016.841944222696
815.1885385824793,5079.145002742155
852.5306095667484,5188.284791655617
858.2798998448931,5447.265711185376
864.9830677191667,5852.564011787269
877.0598544878877,6312.298018035392
883.089010709724,6503.346343538068
913.6665287629671,6693.586360252065
930.7376134879252,7165.514558121369
931.9794042748521,6729.745961479422
938.2327624957785,6488.566280420849
946.6950074072481,7534.095697462483
966.3468411825238,7790.739472047917
994.8925994396493,8011.140364528905
1031.6104352202592,8271.962520671645
1064.3920004941133,8021.459945733021
1076.7785535000012,7694.262769711033
1086.6279792531311,7424.361815437393
1111.791616431794,7268.997601169125
1134.5764834526237,6622.436644066578
1140.532545605791,6999.621749054162
1159.1970859192047,6440.377317630107
1173.3538407188933,6810.242664714493
1184.8183570868619,6615.5479606126455
1221.655491873321,6490.02565895135
1243.1415908937918,6259.769291885359
1260.5619423107773,5919.9841279846905
1284.0550810397335,5695.842984488724
1319.1474184605318,5388.302659845693
1354.0214442467477,5142.573584074368
1384.8071713857044,5005.732624288059
1411.4940989001977,4843.126317219083
1428.634323323246,4567.377186113923
1462.7979641374454,4502.413057819045
1487.4395502307298,4257.072123378932
1521.7993851257652,3908.571797567645
1565.4310681220406,3599.185264262705
1604.772282124563,3474.6782323871857
1625.5836859666524,3200.9355428048107
1657.6473267117083,3103.2080955826164
1664.6086398105497,2894.4536740228755
1706.3583963688843,2781.6810268498048
1740.366893572055,2606.120272499248
1785.4773254052795,2336.2434234327848
1831.932310232579,2121.0977471342044
1877.013756005987,2001.3798143882132
1922.062862148281,1834.507592875464
1967.0978314157555,1669.9062149540728
2012.808756825314,1656.9602272067282
2057.145386565574,1656.1480767298722
2102.1738764320894,1522.5712343156558
2147.1909871853504,1574.225549065655
2192.206204607163,1612.752603022669
2237.213487248993,1623.52021935551
2283.203687858243,1571.727525824986
2324.0685020220576,1625.9677098400002
2368.441041815992,1495.528735631418
2417.2900706310406,1334.386497370381
2464.5299368380424,1280.3534079619683
2507.672049632094,1225.0584512808723
2552.328598041616,1131.1697069607353
2599.5573419193606,1137.0080252074683
2639.300161496293,1006.944422497392
2679.4956076624094,867.5951347207456
2706.561502193776,700.8452558379173
2746.631685430979,659.3441898926466
2793.840263244706,606.1370879489983
2838.855294202057,665.1073587095901
2883.877785012815,679.7200976923413
2928.8924302915384,652.9553010089966
2973.9009397738982,564.4575370801377
3018.901907485986,544.3032733423979
3063.915602592815,466.8221109180631
3108.9350599295994,428.4644032348816
3149.946828002423,280.2150272798464
3153.94370806502,611.4323703859993
3198.9443525720426,640.8218160018047
3243.9425873844934,675.6813830910711
3288.9408221969447,682.3599299881389
3333.9355272530884,631.3148587875119
3378.940817115757,603.9796060967186
3423.947775915037,561.7309348208244
3468.9568256662196,566.1751369399925
3513.9702071302636,492.6600215090588
3558.9756136527485,534.067927655653
3603.9876372730246,501.20395211251457
3648.995778607604,467.3002193196346
3694.000974759929,454.7991574773799
3739.0034934738396,376.70672154452217
3784.0061460596717,288.5374073934726
3824.915843167862,232.1378629048644
3931.2870798855865,113.60276227150092
3976.2792904616085,63.91937246911459
4021.281541431678,180.58052030415476
4066.283069493379,221.55836991151745
4111.281759470359,299.11466701134714
4156.296393593089,416.9823361918168
4201.296663258734,505.3865187785445
4246.315996285878,422.53690057266766
4291.319197746584,487.5950765482099
4336.321831207857,476.0131359399008
4381.326377125138,378.5052161723094
4425.985326941923,292.2611607975759
4471.3187234948855,246.22907555786352
4518.137870784673,196.66536372528844
4561.289429468659,193.68862920157977
4606.095569504197,264.184327680103
4651.2854909967,378.5674831959441
4697.272931780146,350.66043176265725
4740.916367456082,390.6234538743851
4786.294441425112,386.6706061316995
4831.287160714434,388.4954675693954
4876.29172989993,294.2751360524541
4921.30516363777,241.8775516281842
4966.312585410775,247.66515181889025
5009.469549619796,340.0895068389633
5044.0125761897525,419.214286901299
