time_s,hrr_kW
0.0,250.7757913249963
15.20623853051621,738.9958179327895
36.94951619140763,980.895553632966
51.24375746515654,1651.9724480477855
91.51124022213502,1783.0622684045818
141.4405142020696,1777.5412387317251
188.7875710473324,1723.3006652333197
234.2533449826761,1814.193781169898
291.084728393368,1845.1493372364
335.74666578685617,1758.9424721369046
364.1289037716207,1707.358680385731
438.93389138131374,2019.7974922703709
465.9430602804176,2211.1597794252552
518.907271052245,2185.421104863294
566.0607276545364,2231.294996969641
603.3232678721932,2627.65440106596
613.0567285052177,2378.8155117215947
624.1505039139088,2771.5940213393733
638.4703632341405,3281.0157276242267
651.4211501438652,3661.375579261175
666.5842944841248,3884.37277927976
681.9904472875163,4170.063555515087
708.7471085398781,4847.168605595182
744.6611899659467,5193.50846440898
791.6473090290694,5225.361024689048
831.5015576532539,5211.71858512432
837.6376298666646,5426.610450610367
844.791751531301,5706.1798356089175
857.6810008357819,6123.071595547663
864.1157668979089,6389.028127242519
896.750379137755,6620.035207740943
914.969916431217,7177.611257169814
916.2952483546194,6847.871289856942
922.9692995441712,6554.4754710361785
932.000839673869,7530.857143970012
952.9747452060747,7823.644166196954
983.4409115637093,8084.269593208359
1022.6289297311768,8296.648552866425
1057.6158658672175,8144.616103313185
1070.8357208479774,7890.532039656425
1081.3477640320862,7615.09629977575
1108.2042780382233,7382.659138774935
1132.5219907730013,6707.963803283594
1138.8787453829268,7136.467070407196
1158.7989375549212,6522.703628344701
1173.9080841723144,6828.257842781565
1186.1438727518366,6622.020512123735
1225.4592157332318,6427.356151732388
1248.3907862046826,6145.346162121676
1266.983087011611,5804.987657301569
1292.0567202404886,5689.566958557212
1329.5098850893646,5446.76510413496
1366.7300514479894,5271.562438220496
1399.5868799829987,4979.2601420126775
1428.069163266812,4749.64084555619
1446.3624916126944,4466.2137108591705
1482.8244820440768,4359.026720298125
1509.1238241204635,4120.348180682013
1545.795207535956,3888.521296411266
1592.3622001046783,3605.808235064186
1634.3500835483758,3415.693937807016
1656.5615689073516,3229.0294300339856
1690.7822823377423,3145.30511031681
1698.2119158765167,2861.2224204173394
1742.770375919507,2706.677437176031
1779.066785495746,2478.006902675496
1827.212009326075,2200.65243036654
1876.7922405864097,1999.36086308476
1924.9065283276536,1894.4416928872247
1972.9863007979222,1809.4910643570688
2021.0509853389735,1774.5282129856903
2069.837100787191,1710.9329207197457
2117.156465199815,1646.5683066095316
2165.2142344399754,1568.2483054787
2213.25985904014,1516.735584630804
2261.3034629354997,1456.8622285561923
2309.338598240718,1393.9947651338744
2358.4227770515104,1315.5341583250154
2402.036760441769,1267.552503396994
2449.3944507471338,1214.2944812124606
2501.529784651487,1197.8181221494722
2551.9476999722574,1148.2337777167663
2597.992186636937,1211.604414007266
2645.652992160036,1224.9397498649078
2696.0590368998824,1179.621901691664
2738.475543823465,1012.0925237393168
2781.375127666558,975.3687088864672
2810.2618728699367,764.311072940116
2853.0277667547425,668.6892202499234
2903.4122887641133,599.6374254425002
2951.4556936506665,537.8632688852141
2999.5070602502283,505.5859440540547
3047.550053511729,505.339679103327
3095.586498192839,532.4075049773896
3143.614893733139,646.7044861606736
3191.65687290019,642.4018680866209
3239.7050019496446,610.9447032450645
3283.475825533057,366.82090531158826
3287.7415946116635,596.3571719958038
3335.7696452033656,493.62696698469085
3383.7951239889517,497.9168360090007
3431.820602774537,506.0321577407191
3479.842314340423,482.39414738216567
3527.8753228028045,497.8745333972639
3575.9101124790536,533.9132572148688
3623.947133775425,500.5073798552886
3671.9887781994576,366.0634043534908
3720.0219111699134,433.1135981705565
3768.0621064016104,361.0001862721193
3816.098158167899,340.9178656496494
3864.1310666155987,355.5526344871502
3912.1611175009466,485.2321817175676
3960.1913112644124,464.4009432542592
4003.8531970868876,440.2966589700766
4117.3805297406125,418.44903221544655
4165.399579010907,445.04241759087887
4213.4293441400205,428.2390731411488
4261.458337727299,472.0270371273127
4309.484302298485,536.1886220169066
4357.527283653475,558.4207284795048
4405.554934186448,494.1532451791006
4453.602930563366,358.5166862259427
4501.633710127114,271.5519446852369
4549.663883479421,231.30828137837184
4597.696097947693,92.96038470296136
4645.359466432073,174.199499529254
4693.742654872843,209.9432954494389
4743.711547526002,236.2882215674613
4789.766115550285,225.46403769673935
4837.586576435235,298.1594132337218
4885.816637569989,318.1096116431907
4934.89787088845,385.0053040414776
4981.477406795152,563.729922389799
5029.908278312968,654.234796651946
5077.927870520111,612.5094886390103
5125.96010982196,468.28618456434447
5174.001810036495,358.6377643765932
5222.0370938329,173.85457450198095
5268.097431037441,123.37879503397906
5304.9643302978175,190.1351619222308
